Base,Romanized,Yiddish,Gloss,Definition
-ele,-ele,־עלע,NOUN.DIM.SG,"wild tricks, pranks; stratagems; maneuvers"
-elekh,-elekh,־עלעך,NOUN.DIM.PL,"wild tricks, pranks; stratagems; maneuvers"
-l,-l,־ל,NOUN.DIM.SG,"wild tricks, pranks; stratagems; maneuvers"
-lekh,-lekh,־לעך,NOUN.DIM.PL,"wild tricks, pranks; stratagems; maneuvers"
-n,-n,־נ,NOUN.PL,"differences of opinion"
Akive,Akives,עקיבֿאס,N,"Akiba"
Akive,Akiven,עקיבֿאן,N.DAT,"Akiba"
Aleksender,Aleksenders,אַלכּסנדרס,N,"Alexander"
Aleksender,Aleksendern,אַלכּסנדרן,N.DAT,"Alexander"
Aleykhem,Aleykhems,עליכמס,N,"Sholem Aleykhem (Sholom Rabinovitz, 1859-1916)"
Aleykhem,Aleykhemen,עליכמען,N.DAT,"Sholem Aleykhem (Sholom Rabinovitz, 1859-1916)"
Ames,Amesn,עמוסן,N.DAT,"Amos"
Ames,Amess,עמוסס,N,"Amos"
Aren,Arens,אַהרנס,N,"Aaron"
Aren,Arenen,אַהרנען,N.DAT,"Aaron"
Arye,Aryes,אַריהס,N,"Aryeh"
Arye,Aryen,אַריהן,N.DAT,"Aryeh"
Avreml,Avremls,אַבֿרהמלס,N,"Avram"
Avreml,Avremlen,אַבֿרהמלען,N.DAT,"Avram"
Avrohom,Avrohomen,אַבֿרהמען,N.DAT,""
Avrohom,Avrohoms,אַבֿרהמס,N,""
Avrom,Avromen,אַבֿרהמען,N.DAT,""
Avrom,Avroms,אַבֿרהמס,N,""
Avromtshe,Avromtshen,אַבֿרהמטשען,N.DAT,"Avram"
Avromtshe,Avromtshes,אַבֿרהמטשעס,N,"Avram"
Avromtshele,Avromtshelen,אַבֿרהמטשעלען,N.DAT,"Avram"
Avromtshele,Avromtsheles,אַבֿרהמטשעלעס,N,"Avram"
Basheva,Bashevas,בתשבֿעס,N,"Batsheba"
Basheva,Bashevan,בתשבֿען,N.DAT,"Batsheba"
Basye,Basyen,בתיהן,N.DAT,"Batya"
Basye,Basyes,בתיהס,N,"Batya"
Betsalel,Betsaleln,בצלאלן,N.DAT,"Betsalel"
Betsalel,Betsalels,בצלאלס,N,"Betsalel"
Binyomen,Binyomens,בנימינס,N N,"Benjamin"
Binyomen,Binyomenen,בנימינען,N.DAT N.DAT,"Benjamin"
Borekh,Borekhs,ברוכס,N,"Borukh"
Borekh,Borekhn,ברוכן,N.DAT,"Borukh"
Boyez,Boyezs,בועזס,N,"Boaz"
Boyez,Boyezn,בועזן,N.DAT,"Boaz"
Brukhe,Brukhes,ברוכהס,N,"Brukhe"
Brukhe,Brukhen,ברוכהן,N.DAT,"Brukhe"
Dan,Danen,דנען,N.DAT,"Dan"
Dan,Dans,דנס,N,"Dan"
Daniel,Danieln,דניאלן,N.DAT,"Daniel"
Daniel,Daniels,דניאלס,N,"Daniel"
Dine,Dinen,דינהן,N.DAT,"Dinah"
Dine,Dines,דינהס,N,"Dinah"
Dov,Dovs,דובֿס,N,"Dov"
Dov,Dovn,דובֿן,N.DAT,"Dov"
Dov_,Dov_s,דבֿס,N,"Dov"
Dov_,Dov_n,דבֿן,N.DAT,"Dov"
Doved,Dovedn,דודן,N.DAT,"David"
Doved,Doveds,דודס,N,"David"
Dvore,Dvores,דבֿורהס,N,"Deborah"
Dvore,Dvoren,דבֿורהן,N.DAT,"Deborah"
Dvoreke,Dvoreken,דבֿורהקען,N.DAT,"Deborah"
Dvoreke,Dvorekes,דבֿורהקעס,N,"Deborah"
Efrem,Efrems,אפֿרימס,N,"Ephraim"
Efrem,Efremen,אפֿרימען,N.DAT,"Ephraim"
Efroyem,Efroyems,אפֿרימס,N,"Ephraim"
Efroyem,Efroyemen,אפֿרימען,N.DAT,"Ephraim"
Eli,Elis,אליס,N,"Eli"
Eli,Elien,אליען,N.DAT,"Eli"
Elimeylekh,Elimeylekhs,ײלימלכס,N,"Elimelekh"
Elimeylekh,Elimeylekhn,ײלימלכן,N.DAT,"Elimelekh"
Elye,Elyes,אליהוס,N N,"Elijah"
Elye,Elyen,אליהון,N.DAT N.DAT,"Elijah"
Elyezer,Elyezern,אליעזרן,N.DAT,"Eliezer"
Elyezer,Elyezers,אליעזרס,N,"Eliezer"
Ester,Esters,אסתּרס,N,"Esther"
Ester,Estern,אסתּרן,N.DAT,"Esther"
Esterl,Esterln,אסתּרלן,N.DAT,"Esther"
Esterl,Esterls,אסתּרלס,N,"Esther"
Eyli,Eylis,אליס,N,"Eli"
Eyli,Eylien,אליען,N.DAT,"Eli"
Eysev,Eysevn,עשׂון,N.DAT,"Esau"
Eysev,Eysevs,עשׂוס,N,"Esau"
Eyzer,Eyzern,עזרן,N.DAT,"Eyzer"
Eyzer,Eyzers,עזרס,N,"Eyzer"
Ezre,Ezren,עזראַן,N.DAT,"Ezrah"
Ezre,Ezres,עזראַס,N,"Ezrah"
Gavriyel,Gavriyels,גבֿריאלס,N,"Gabriel"
Gavriyel,Gavriyeln,גבֿריאלן,N.DAT,"Gabriel"
Gedalye,Gedalyen,גדליהן,N.DAT,""
Gedalye,Gedalyes,גדליהס,N,""
Gershn,Gershnen,גרשונען,N.DAT,""
Gershn,Gershns,גרשונס,N,""
Hadase,Hadases,הדסהס,N,"Hadassah"
Hadase,Hadasen,הדסהן,N.DAT,"Hadassah"
Henekh,Henekhn,הנכן,N.DAT,"Enoch"
Henekh,Henekhs,הנכס,N,"Enoch"
Hilel,Hileln,הללן,N.DAT,""
Hilel,Hilels,הללס,N,""
Ite,Iten,אײַטען,N.DAT,""
Ite,Ites,אײַטעס,N,""
Iyev,Iyevs,איובֿס,N,"Job"
Iyev,Iyevn,איובֿן,N.DAT,"Job"
Kalmen,Kalmens,קלמנס,N,"Kalman"
Kalmen,Kalmenen,קלמנען,N.DAT,"Kalman"
Kasriyel,Kasriyeln,כּתריאלן,N.DAT,"Kasriel"
Kasriyel,Kasriyels,כּתריאלס,N,"Kasriel"
Kasriyel,Kasriyel,כּתריאל,NOUN.MASC,"Kasriel"
Khane,Khanes,חנהס,N,"Hanna"
Khane,Khanen,חנהן,N.DAT,"Hanna"
Khanele,Khaneles,חנהלעס,N,"Hanna"
Khanele,Khanelen,חנהלען,N.DAT,"Hanna"
Khave,Khaven,חוהן,N.DAT,""
Khave,Khaves,חוהס,N,""
Khaye,Khayen,חיהן,N.DAT,""
Khaye,Khayes,חיהס,N,""
Khayem,Khayemen,חײמען,N.DAT,""
Khayem,Khayems,חײמס,N,""
Khayem_Yankl,Khayem_Yankl,חײם־יאַנקל,NOUN.MASC,"a nobody"
Khaye|le,Khayelen,חיהלען,N.DAT,""
Khaye|le,Khayeles,חיהלעס,N,""
Kheyfets,Kheyfetsn,חפֿצן,N.DAT,""
Kheyfets,Kheyfetss,חפֿצס,N,""
Koyen,Koyens,כּהנס,N,""
Koyen,Koyenen,כּהנען,N.DAT,""
Levi,Levis,לויס,N,""
Levi,Levien,לויען,N.DAT,""
Leye,Leyen,לאהן,N.DAT,"Leah"
Leye,Leyes,לאהס,N,"Leah"
Lovn,Lovnen,לבֿנען,N.DAT,"Laban"
Lovn,Lovns,לבֿנס,N,"Laban"
Malke,Malkes,מלכּהס,N,""
Malke,Malken,מלכּהן,N.DAT,""
Matisyohu,Matisyohus,מתּתיהוס,N,"Yoel Mattathias"
Matisyohu,Matisyohuen,מתּתיהוען,N.DAT,"Yoel Mattathias"
Matye,Matyen,םאַטיען,N.DAT,""
Matye,Matyes,םאַטיעס,N,""
Mekhl,Mekhls,מיכאלס,N,""
Mekhl,Mekhlen,מיכאלען,N.DAT,""
Menakhem,Menakhems,מנחמס,N,""
Menakhem,Menakhemen,מנחמען,N.DAT,""
Menashe,Menashen,מנשהן,N.DAT,""
Menashe,Menashes,מנשהס,N,""
Meyer,Meyerlekh,מאירלעך,NOUN.DIM.PL,""
Meyer,Meyerl,מאירל,NOUN.DIM.SG,""
Meyer,Meyern,מאירן,N.DAT,""
Meyer,Meyerele,מאירעלע,NOUN.DIM.SG,""
Meyer,Meyerelekh,מאירעלעך,NOUN.DIM.PL,""
Meyer,Meyers,מאירס,N,""
Meylekh,Meylekhn,מלכן,N.DAT,""
Meylekh,Meylekhs,מלכס,N,""
Mikhl,Mikhls,מיכאלס,N,"Michael"
Mikhl,Mikhlen,מיכאלען,N.DAT,"Michael"
Mikhoyl,Mikhoyls,מיכאלס,N,"Michael"
Mikhoyl,Mikhoyln,מיכאלן,N.DAT,"Michael"
Miryem,Miryemen,מרימען,N.DAT,"Miriam"
Miryem,Miryems,מרימס,N,"Miriam"
Mordkhe,Mordkhen,מרדכין,N.DAT,"Mordechai"
Mordkhe,Mordkhes,מרדכיס,N,"Mordechai"
Moyshe,Moyshen,משהן,N.DAT,""
Moyshe,Moyshes,משהס,N,""
Moyshe|le,Moyshelen,משהלען,N.DAT,""
Moyshe|le,Moysheles,משהלעס,N,""
Naftoli,Naftolien,נפֿתּליען,N.DAT,""
Naftoli,Naftolis,נפֿתּליס,N,""
Naftolin,Naftolinen,נפֿתּלינען,N.DAT,""
Naftolin,Naftolins,נפֿתּלינס,N,""
Naftoltsi,Naftoltsis,נפֿתּלציס,N,""
Naftoltsi,Naftoltsien,נפֿתּלציען,N.DAT,""
Nakhmen,Nakhmenen,נחמנען,N.DAT,""
Nakhmen,Nakhmens,נחמנס,N,""
Nekhe,Nekhes,נעחעס,N,""
Nekhe,Nekhen,נעחען,N.DAT,""
Nekhemye,Nekhemyen,נחמיהן,N.DAT,""
Nekhemye,Nekhemyes,נחמיהס,N,""
Nokhem,Nokhems,נחומס,N,""
Nokhem,Nokhemen,נחומען,N.DAT,""
Nokheml,Nokhemls,נחומלס,N,""
Nokheml,Nokhemlen,נחומלען,N.DAT,""
Nosn,Nosns,נתנס,N,"Nathan"
Nosn,Nosnen,נתנען,N.DAT,"Nathan"
Note,Notes,נטעס,N,"Notte"
Note,Noten,נטען,N.DAT,"Notte"
Noyekh,Noyekhn,נחן,N.DAT,""
Noyekh,Noyekhs,נחס,N,""
Noymi,Noymien,נעמיען,N.DAT,"Naomi"
Noymi,Noymis,נעמיס,N,"Naomi"
Odem,Odemen,אדמען,N.DAT,""
Odem,Odems,אדמס,N,""
Og,Ogs,אוגס,N,""
Og,Ogn,אוגן,N.DAT,""
Osher,Oshern,אָשרן,N.DAT,""
Osher,Oshers,אָשרס,N,""
Osherl,Osherls,אָשרלס,N,""
Osherl,Osherln,אָשרלן,N.DAT,""
Pare,Pares,פּרעהס,N,"Pharaoh"
Pare,Paren,פּרעהן,N.DAT,"Pharaoh"
Penina,Peninas,פּנינהס,N N,""
Penina,Peninan,פּנינהן,N.DAT N.DAT,""
Perets,Peretss,פּרצס,N,"Perets (Biblical); Yitskhak-Leyb Perets (1852-1915)"
Perets,Peretsn,פּרצן,N.DAT,"Perets (Biblical); Yitskhak-Leyb Perets (1852-1915)"
Pinkhes,Pinkhess,פּינחסס,N,"Pinchas"
Pinkhes,Pinkhesn,פּינחסן,N.DAT,"Pinchas"
Rashi,Rashis,רש″יס,N,""
Rashi,Rashien,רש″יען,N.DAT,""
Refoyl,Refoyls,רפֿאלס,N,""
Refoyl,Refoyln,רפֿאלן,N.DAT,""
Rivke,Rivkes,רבֿקהס,N,""
Rivke,Rivken,רבֿקהן,N.DAT,""
Rokhl,Rokhls,רחלס,N,""
Rokhle,Rokhles,רחלעס,N,""
Rokhle,Rokhlen,רחלען,N.DAT,""
Rus,Rusn,רותן,N.DAT,"Ruth"
Rus,Russ,רותס,N,"Ruth"
Ruvn,Ruvns,ראובֿנס,N,""
Ruvn,Ruvnen,ראובֿנען,N.DAT,""
Samoel,Samoel,סמאל,NOUN.MASC,"chief devil, Satan"
Samoel,Samoels,סמאלס,N,"chief devil, Satan"
Samoel,Samoeln,סמאלן,N.DAT,"chief devil, Satan"
Shevo,Shevos,שבֿאָס,N,"Sheba (usually with di malke{mlKh})"
Shevo,Shevon,שבֿאָן,N.DAT,"Sheba (usually with di malke{mlKh})"
Shimen,Shimenen,שמעונען,N.DAT,"Simon"
Shimen,Shimens,שמעונס,N,"Simon"
Shloyme,Shloymen,שלמהן,N.DAT,"Solomon"
Shloyme,Shloymes,שלמהס,N,"Solomon"
Shmuel,Shmuel,שמואל,NOUN.MASC,"Samuel"
Shmuel,Shmuels,שמואלס,N,"Samuel"
Shmuel,Shmueln,שמואלן,N.DAT,"Samuel"
Shmul,Shmuln,שמואלן,N.DAT,""
Shmul,Shmuls,שמואלס,N,""
Shmulik,Shmuliks,שמוליקס,N,""
Shmulik,Shmulikn,שמוליקן,N.DAT,""
Shneyer,Shneyers,שניאורס,N,""
Shneyer,Shneyern,שניאורן,N.DAT,""
Sholem,Sholems,שלומס,N,""
Sholem,Sholemen,שלומען,N.DAT,""
Shulamis,Shulamisn,שולמיתן,N.DAT,""
Shulamis,Shulamiss,שולמיתס,N,""
Simkhe,Simkhen,שׂמחהן,N.DAT,"Simchah"
Simkhe,Simkhes,שׂמחהס,N,"Simchah"
Sore,Soren,שׂרהן,N.DAT,"Sarah"
Sore,Sores,שׂרהס,N,"Sarah"
Sore|le,Sorelen,שׂרהלען,N.DAT,"Sarah"
Sore|le,Soreles,שׂרהלעס,N,"Sarah"
Sore|shi,Soreshis,שׂרהשיס,N,"Sarah"
Sore|shi,Soreshien,שׂרהשיִען,N.DAT,"Sarah"
Sotn,Sotns,שׂטנס,N,"Satan"
Sotn,Sotnen,שׂטנען,N.DAT,"Satan"
Tevye,Tevyes,תּבֿיהס,N,""
Tevye,Tevyen,תּבֿיהן,N.DAT,""
Tsodek,Tsodeks,צדוקס,N,""
Tsodek,Tsodekn,צדוקן,N.DAT,""
Tsvi,Tsvien,צבֿיען,N.DAT,""
Tsvi,Tsvis,צבֿיס,N,""
Uri,Urien,אוריען,N.DAT,""
Uri,Uris,אוריס,N,""
Uryel,Uryeln,אוריאלן,N.DAT,""
Uryel,Uryels,אוריאלס,N,""
Yankev,Yankevs,יעקבֿס,N,"Jacob"
Yankev,Yankevn,יעקבֿן,N.DAT,"Jacob"
Yehoyesh,Yehoyeshs,יהואַשס,N,"Yehoash"
Yehoyesh,Yehoyeshn,יהואַשן,N.DAT,"Yehoash"
Yehoyshue,Yehoyshues,יהושעס,N,""
Yehoyshue,Yehoyshuen,יהושען,N.DAT,""
Yehude,Yehudes,יהודהס,N,"Judah"
Yehude,Yehuden,יהודהן,N.DAT,"Judah"
Yekheved,Yekhevedn,יוחבֿדן,N.DAT,""
Yekheved,Yekheveds,יוחבֿדס,N,""
Yekhezkl,Yekhezklen,יחזקאלען,N.DAT,"Ezekiel"
Yekhezkl,Yekhezkls,יחזקאלס,N,"Ezekiel"
Yekhiyel,Yekhiyels,יחיאלס,N,""
Yekhiyel,Yekhiyeln,יחיאלן,N.DAT,""
Yeshaye,Yeshayes,ישעיהוס,N,"Isaiah"
Yeshaye,Yeshayen,ישעיהון,N.DAT,"Isaiah"
Yeshu,Yeshus,ישוס,N,"Jesus"
Yeshue,Yeshuen,יהושען,N.DAT,""
Yeshue,Yeshues,יהושעס,N,""
Yirmiahu,Yirmiahus,ירמיהוס,N,"Jeremiah"
Yirmiahu,Yirmiahuen,ירמיהוען,N.DAT,"Jeremiah"
Yishmoyl,Yishmoyln,ישמעאלן,N.DAT,"Ishmael"
Yishmoyl,Yishmoyls,ישמעאלס,N,"Ishmael"
Yisroel,Yisroels,ישׂראלס,N,"Israel"
Yisroel,Yisroeln,ישׂראלן,N.DAT,"Israel"
Yisroelik,Yisroeliks,ישׂראליקס,N,"Israel"
Yisroelik,Yisroelikn,ישׂראליקן,N.DAT,"Israel"
Yitskhok,Yitskhokn,יצחקן,N.DAT,""
Yitskhok,Yitskhoks,יצחקס,N,""
Yoykhonon,Yoykhononen,יוחננען,N.DAT,"John"
Yoykhonon,Yoykhonons,יוחננס,N,"John"
Yoyl,Yoyls,יואלס,N,"Joel"
Yoyl,Yoyln,יואלן,N.DAT,"Joel"
Yoylik,Yoylikn,יואליקן,N.DAT,"Joel"
Yoylik,Yoyliks,יואליקס,N,"Joel"
Yoyne,Yoynes,יונהס,N,""
Yoyne,Yoynen,יונהן,N.DAT,""
Yoynesen,Yoynesens,יונתנס,N,"Jonathan"
Yoynesen,Yoynesenen,יונתנען,N.DAT,"Jonathan"
Yoysef,Yoysefs,יוספֿס,N,"Joseph"
Yoysef,Yoysefn,יוספֿן,N.DAT,"Joseph"
Yudis,Yudiss,יהודיתס,N,""
Yudis,Yudisn,יהודיתן,N.DAT,""
Yudisl,Yudislen,היודיתלען,N.DAT,""
Yudisl,Yudisls,היודיתלס,N,""
Zalmen,Zalmenen,זלמנען,N.DAT,""
Zalmen,Zalmens,זלמנס,N,""
Zekharye,Zekharyen,זכריהן,N.DAT,""
Zekharye,Zekharyes,זכריהס,N,""
Zeml,Zemlen,זימלען,N.DAT,"Zeml"
Zeml,Zemls,זימלס,N,"Zeml"
Zerekh,Zerekhs,זרחס,N,""
Zerekh,Zerekhn,זרחן,N.DAT,""
Zerekhl,Zerekhls,זרחלס,N,""
Zerekhl,Zerekhlen,זרחלען,N.DAT,""
Zev,Zevn,זעבֿן,N.DAT,""
Zev,Zevs,זעבֿס,N,""
Zeyresh,Zeyreshs,זרשס,N,"Zeresh (Hamans wife); bitter or wicked woman"
Zeyresh,Zeyreshn,זרשן,N.DAT,"Zeresh (Hamans wife); bitter or wicked woman"
a,an,אַן,PREP,"a"
a,aen,אַען,NOUN.PL,"the letter A"
a,a,אַ,ART NOUN.MASC,"a; the letter A"
abaryen,abaryonem,עברינים,NOUN.PL,"sinner"
abaryen,abaryen,עבריון,NOUN.MASC,"sinner"
abazhur,abazhur,אַבאַזשור,NOUN.MASC,"lampshade"
abazhur,abazhurelekh,אַבאַזשורעלעך,NOUN.DIM.PL,"lampshade"
abazhur,abazhurn,אַבאַזשורן,NOUN.PL,"lampshade"
abazhur,abazhurl,אַבאַזשורל,NOUN.DIM.SG,"lampshade"
abazhur,abazhurlekh,אַבאַזשורלעך,NOUN.DIM.PL,"lampshade"
abazhur,abazhurele,אַבאַזשורעלע,NOUN.DIM.SG,"lampshade"
abi,abi,אַבי,CNJ,"if only"
abonament,abonament,אַבאָנאַמענט,NOUN.MASC,"subscription"
abonament,abonamentn,אַבאָנאַמענטן,NOUN.PL,"subscription"
abonement,abonement,אַבאָנעמענט,NOUN.MASC,"subscription"
abonement,abonementn,אַבאָנעמענטן,NOUN.PL,"subscription"
abonent,abonent,אַבאָנענט,NOUN.MASC,"subscriber"
abonent,abonentn,אַבאָנענטן,NOUN.PL,"subscriber"
abonir,abonirndiker,אַבאָנירנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"subscribe"
abonir,abonir,אַבאָניר,NOUN.MASC,"subscribe"
abonir,abonirst,אַבאָנירסט,V.2.SG,"subscribe"
abonir,abonirts,אַבאָנירטס,PART.NEUT.NOM.SG PART.NEUT.ACC.SG,"subscribe"
abonir,abonirndikn,אַבאָנירנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"subscribe"
abonir,abonirndike,אַבאָנירנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"subscribe"
abonir,abonirt,אַבאָנירט,V.3.SG V.2.PL PART,"subscribe"
abonir,abonirndiks,אַבאָנירנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"subscribe"
abonir,abonirn,אַבאָנירן,V.INF V.1.PL V.3.PL,"subscribe"
abonir,abonirte,אַבאָנירטע,PART.FEM.NOM.SG PART.NEUT.NOM/ACC.DEF.SG PART.PL,"subscribe"
abonir,abonirndik,אַבאָנירנדיק,V.PRES.PTCP,"subscribe"
abonir,abonirter,אַבאָנירטער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"subscribe"
abonir,abonirtn,אַבאָנירטן,PART.MASC.ACC.SG PART.MASC.DAT.SG PART.NEUT.DAT.SG,"subscribe"
abonir,abonirstu,אַבאָנירסטו,V.2.SG,"subscribe"
abort,abortn,אַבאָרטן,NOUN.PL,"abortion"
abort,abort,אַבאָרט,NOUN.MASC,"abortion"
abramtshik,abramtshikn,אַבראַמטשיקן,N.DAT,"Abramtshik"
abramtshik,abramtshiks,אַבראַמטשיקס,N,"Abramtshik"
abrashe,abrashen,אַבראַשען,N.DAT,"Abrashe"
abrashe,abrashes,אַבראַשעס,N,"Abrashe"
absolut,absolut,אַבסאָלוט,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"absolute"
absolut,absolute,אַבסאָלוטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"absolute"
absolut,absoluter,אַבסאָלוטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"absolute"
absolut,absolutn,אַבסאָלוטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"absolute"
absolut,absoluts,אַבסאָלוטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"absolute"
abstrakt,abstraktn,אַבסטראַקטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"abstract"
abstrakt,abstrakter,אַבסטראַקטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"abstract"
abstrakt,abstrakts,אַבסטראַקטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"abstract"
abstrakt,abstrakte,אַבסטראַקטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"abstract"
abstrakt,abstrakt,אַבסטראַקט,NOUN.FEM ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"abstract"
abstraktsye,abstraktsye,אַבסטראַקציע,NOUN.FEM,"abstraction"
abstraktsye,abstraktsyes,אַבסטראַקציעס,NOUN.FEM.PL,"abstraction"
absurd,absurdn,אַבסורדן,NOUN.PL ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"absurdity; absurd"
absurd,absurd,אַבסורד,NOUN.MASC ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"absurdity; absurd"
absurd,absurder,אַבסורדער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"absurd"
absurd,absurds,אַבסורדס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"absurd"
absurd,absurde,אַבסורדע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"absurd"
ad,ad,עד,PREP,"until"
adadzhyo,adadzhyo,אַדאַדזשיאָ,ADV,"adagio (music)"
adaptatsye,adaptatsye,אַדאַפּטאַציע,NOUN.FEM,"adaptation"
adaptatsye,adaptatsyes,אַדאַפּטאַציעס,NOUN.FEM.PL,"adaptation"
adaptir,adaptirndiker,אַדאַפּטירנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"adapt"
adaptir,adaptirndik,אַדאַפּטירנדיק,V.PRES.PTCP,"adapt"
adaptir,adaptirn,אַדאַפּטירן,V.INF V.1.PL V.3.PL,"adapt"
adaptir,adaptirst,אַדאַפּטירסט,V.2.SG,"adapt"
adaptir,adaptirndikn,אַדאַפּטירנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"adapt"
adaptir,adaptirt,אַדאַפּטירט,V.3.SG V.2.PL PART,"adapt"
adaptir,adaptirter,אַדאַפּטירטער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"adapt"
adaptir,adaptirts,אַדאַפּטירטס,PART.NEUT.NOM.SG PART.NEUT.ACC.SG,"adapt"
adaptir,adaptirte,אַדאַפּטירטע,PART.FEM.NOM.SG PART.NEUT.NOM/ACC.DEF.SG PART.PL,"adapt"
adaptir,adaptirndiks,אַדאַפּטירנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"adapt"
adaptir,adaptirstu,אַדאַפּטירסטו,V.2.SG,"adapt"
adaptir,adaptirtn,אַדאַפּטירטן,PART.MASC.ACC.SG PART.MASC.DAT.SG PART.NEUT.DAT.SG,"adapt"
adaptir,adaptirndike,אַדאַפּטירנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"adapt"
adaptirer,adaptirer,אַדאַפּטירער,NOUN.MASC,"adapter"
adaptirer,adaptirers,אַדאַפּטירערס,NOUN.MASC.PL,"adapter"
adar,adar,אַדר,NOUN.MASC,"month of Adar"
adayem,adayem,עד־היום,PREP ADV,"until today"
adekvat,adekvat,אַדעקװאַט,NOUN.MASC,"equivalent"
adekvat,adekvatn,אַדעקװאַטן,NOUN.PL,"equivalent"
aderoyf,aderoyfn,אַדערױפֿן,NOUN.PL,"financial advance"
aderoyf,aderoyf,אַדערױף,NOUN.MASC,"financial advance"
adeser,adeser,אַדעסער,NOUN,"Odessa (Ukraine)"
adir,adir,אַדיר,NOUN.MASC,"wealthy person"
adir,adirem,אַדירים,NOUN.PL,"wealthy person"
aditsye,aditsye,אַדיציע,NOUN.FEM,"addition (mathematics)"
adkhorme,adkhorme,עד־חרמה,ADV,"mercilessly, without pity"
adl,adliks,אַדליקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"noble"
adl,adl,אַדל,NOUN.MASC,"nobility"
adl,adlikn,אַדליקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"noble"
adl,adlike,אַדליקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"noble"
adl,adliker,אַדליקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"noble"
adl,adlik,אַדליק,ADJ,"noble"
adlekheshbn,adlekheshbn,אַד־לחשבון,NOUN.MASC,"advance payment"
adllayt,adllaytn,אַדללײַטן,NOUN.PL,"nobility"
adlman,adllayt,אַדללײַט,NOUN.PL,"nobleman"
adlman,adlman,אַדלמאַן,NOUN.MASC,"nobleman"
administir,administirte,אַדמיניסטירטע,PART.FEM.NOM.SG PART.NEUT.NOM/ACC.DEF.SG PART.PL,"manage; administer"
administir,administirn,אַדמיניסטירן,V.INF V.1.PL V.3.PL,"manage; administer"
administir,administirndikn,אַדמיניסטירנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"manage; administer"
administir,administirndik,אַדמיניסטירנדיק,V.PRES.PTCP,"manage; administer"
administir,administirts,אַדמיניסטירטס,PART.NEUT.NOM.SG PART.NEUT.ACC.SG,"manage; administer"
administir,administirndike,אַדמיניסטירנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"manage; administer"
administir,administirtn,אַדמיניסטירטן,PART.MASC.ACC.SG PART.MASC.DAT.SG PART.NEUT.DAT.SG,"manage; administer"
administir,administirst,אַדמיניסטירסט,V.2.SG,"manage; administer"
administir,administirndiker,אַדמיניסטירנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"manage; administer"
administir,administirstu,אַדמיניסטירסטו,V.2.SG,"manage; administer"
administir,administirt,אַדמיניסטירט,V.3.SG V.2.PL PART,"manage; administer"
administir,administirndiks,אַדמיניסטירנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"manage; administer"
administir,administirter,אַדמיניסטירטער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"manage; administer"
administrativ,administrativs,אַדמיניסטראַטיװס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"administrative"
